,STATEFIPS,STATE,ZIPCODE,agi_stub,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
62058,24,MD,0,1,924142.0,85575.0,451206.0,1281891.0,429368.0,11356487.0,715352.0,8567490.0,186743.0,135639.0,88846.0,156470.0,79534.0,95067.0,151815.0,927612.0,2300.0,63418.0,-14047.0,43876.0,240730.0,108513.0,1030248.0,73277.0,497973.0,31849.0,58303.0,618.0,1318.0,105477.0,1534834.0,60712.0,79999.0,30954.0,15230.0,62429.0,191263.0,102062.0,300529.0,50409.0,420328.0,68003.0,130401.0,430409.0,2561908.0,135395.0,53580.0,37121.0,12937.0,12259.0,4685.0,2312.0,406.0,298374.0,703255.0,266953.0,613480.0,193253.0,231165.0,220.0,73.0,330481.0,219542.0,442952.0,375528.0,90689.0,63141.0,775819.0,1493897.0
62059,24,MD,0,2,648319.0,127066.0,325637.0,1202131.0,429092.0,23650348.0,566388.0,19509282.0,196183.0,160062.0,75405.0,190918.0,66978.0,120753.0,80942.0,447663.0,1958.0,52161.0,14242.0,43764.0,370514.0,113496.0,2077090.0,49604.0,354934.0,86804.0,544280.0,1160.0,6082.0,241364.0,3940322.0,210170.0,495723.0,21142.0,17443.0,155973.0,453123.0,239714.0,996788.0,140750.0,1142464.0,186050.0,494904.0,621200.0,12375555.0,266097.0,258716.0,141200.0,130195.0,44214.0,29378.0,13729.0,3903.0,119997.0,194615.0,99971.0,164035.0,112465.0,161046.0,199.0,96.0,508034.0,1296537.0,531074.0,1409126.0,86031.0,124949.0,551989.0,1422436.0
62060,24,MD,0,3,404824.0,144057.0,214557.0,801671.0,252986.0,24916570.0,353137.0,19770836.0,202217.0,180100.0,81198.0,250525.0,72635.0,161546.0,59579.0,388788.0,1763.0,57229.0,26167.0,41684.0,472869.0,97985.0,2575043.0,24481.0,167222.0,70677.0,946751.0,1566.0,10805.0,261109.0,5159977.0,244679.0,947925.0,9398.0,10755.0,207510.0,649018.0,260459.0,1646116.0,190527.0,1740612.0,215601.0,658917.0,401136.0,15614741.0,161553.0,226434.0,99485.0,142998.0,26108.0,15539.0,18644.0,5989.0,0.0,0.0,0.0,0.0,18759.0,23964.0,1451.0,1063.0,380734.0,2053379.0,386426.0,2154563.0,78142.0,160366.0,318135.0,954005.0
62061,24,MD,0,4,270908.0,152136.0,144007.0,618180.0,195186.0,23480987.0,240575.0,18508129.0,172410.0,171572.0,75323.0,257523.0,67974.0,175189.0,46082.0,396193.0,1403.0,54563.0,57424.0,34203.0,507428.0,73990.0,2373185.0,15366.0,105337.0,50219.0,858855.0,1858.0,16095.0,222445.0,5158145.0,213086.0,1182067.0,4449.0,5660.0,189924.0,663471.0,222200.0,1890754.0,175551.0,1858545.0,188127.0,628637.0,269872.0,15556859.0,120980.0,182267.0,75522.0,117642.0,21967.0,12981.0,16824.0,6042.0,0.0,0.0,0.0,0.0,3244.0,3909.0,3770.0,4071.0,265822.0,2232817.0,267215.0,2327704.0,55738.0,146508.0,208169.0,750444.0
62062,24,MD,0,5,420441.0,330236.0,216447.0,1145539.0,394900.0,57310077.0,387443.0,46111907.0,323480.0,391397.0,168986.0,720052.0,154943.0,512767.0,83952.0,1299232.0,2396.0,128623.0,347616.0,57020.0,1241392.0,120630.0,4738241.0,17591.0,121866.0,66247.0,1289217.0,7872.0,109289.0,396106.0,12281149.0,385929.0,3523421.0,4141.0,7783.0,367877.0,1620610.0,395916.0,5224316.0,338562.0,4487490.0,356369.0,1442600.0,419812.0,40581846.0,202185.0,244100.0,84582.0,109859.0,51139.0,29419.0,32038.0,16086.0,0.0,0.0,0.0,0.0,683.0,474.0,27954.0,54379.0,418427.0,7016354.0,418920.0,7265544.0,122645.0,472570.0,283319.0,1232656.0
62063,24,MD,0,6,132921.0,119786.0,84433.0,402605.0,149954.0,56181674.0,121842.0,33271620.0,120853.0,753091.0,89236.0,1659942.0,84931.0,1213255.0,34328.0,2240085.0,1209.0,80500.0,3908269.0,21647.0,1076425.0,35413.0,1896243.0,2392.0,13494.0,18663.0,438027.0,13060.0,435920.0,132199.0,9723969.0,129475.0,4140669.0,1760.0,3578.0,126896.0,1004565.0,132169.0,5208530.0,111327.0,2209996.0,124873.0,1386467.0,132745.0,44816937.0,64069.0,165649.0,40.0,1.0,16789.0,8843.0,9408.0,10120.0,0.0,0.0,0.0,0.0,0.0,0.0,105970.0,804756.0,132702.0,11913411.0,132783.0,12306344.0,63209.0,1090454.0,51900.0,516994.0
62064,24,MD,20601,1,5819.0,254.0,1530.0,8976.0,1433.0,40895.0,2821.0,34245.0,538.0,240.0,153.0,151.0,138.0,100.0,466.0,1724.0,0.0001,96.0,-39.0,90.0,525.0,313.0,3157.0,273.0,1921.0,64.0,101.0,0.0001,0.0001,381.0,5725.0,219.0,286.0,117.0,53.0,230.0,657.0,373.0,1029.0,208.0,2031.0,237.0,515.0,1630.0,9730.0,481.0,211.0,132.0,49.0,49.0,20.0,0.0001,0.0001,1044.0,2331.0,937.0,2061.0,668.0,781.0,0.0001,0.0001,1300.0,833.0,3561.0,6148.0,232.0,153.0,3019.0,5454.0
62065,24,MD,20601,2,0.0001,443.0,1202.0,0.0001,1702.0,89815.0,2121.0,75948.0,682.0,565.0,200.0,232.0,172.0,185.0,351.0,367.0,0.0001,119.0,-0.508,131.0,879.0,459.0,9804.0,182.0,1453.0,294.0,1765.0,0.0001,0.0001,1041.0,17913.0,906.0,2049.0,94.0,75.0,684.0,2015.0,1039.0,4254.0,651.0,5853.0,851.0,2793.0,2299.0,45254.0,1040.0,1158.0,575.0,560.0,211.0,144.0,69.0,20.0,444.0,700.0,382.0,581.0,458.0,650.0,0.0001,0.0001,1853.0,4552.0,0.0001,0.0001,296.0,392.0,2113.0,5757.0
62066,24,MD,20601,3,1931.0,585.0,1048.0,3919.0,1404.0,119645.0,1740.0,99979.0,838.0,447.0,220.0,348.0,198.0,204.0,271.0,9.0,33.0,132.0,-41.0,153.0,1630.0,473.0,12922.0,108.0,786.0,267.0,3541.0,0.0001,0.0001,1381.0,30231.0,1303.0,4948.0,42.0,42.0,1108.0,3399.0,1378.0,8622.0,1061.0,11005.0,1162.0,4518.0,1909.0,70944.0,848.0,1268.0,576.0,800.0,170.0,105.0,117.0,32.0,0.0,0.0,0.0,0.0,112.0,138.0,0.0001,0.0001,1802.0,9011.0,1825.0,9286.0,336.0,690.0,1580.0,5211.0
62067,24,MD,20601,4,1419.0,667.0,765.0,3187.0,1100.0,123331.0,1298.0,101162.0,793.0,430.0,227.0,261.0,197.0,200.0,223.0,-8.0,0.0001,136.0,-78.0,108.0,1217.0,445.0,15504.0,73.0,597.0,208.0,3158.0,0.0001,0.0001,1234.0,31097.0,1193.0,6367.0,44.0,69.0,1065.0,3600.0,1233.0,10169.0,1047.0,12600.0,1058.0,4240.0,1417.0,78593.0,586.0,945.0,404.0,593.0,148.0,99.0,98.0,49.0,0.0,0.0,0.0,0.0,25.0,26.0,45.0,39.0,1392.0,11468.0,1398.0,11725.0,286.0,746.0,1126.0,4121.0
62068,24,MD,20601,5,2287.0,1760.0,1168.0,6307.0,2260.0,309031.0,2216.0,263409.0,1510.0,1081.0,454.0,865.0,405.0,590.0,401.0,1832.0,0.0001,300.0,365.0,173.0,2845.0,873.0,30451.0,99.0,686.0,237.0,3960.0,0.0001,0.0001,2210.0,72524.0,2167.0,18965.0,0.0001,0.0001,2081.0,8007.0,2210.0,27392.0,2044.0,29607.0,2005.0,9898.0,2285.0,212450.0,993.0,1325.0,465.0,590.0,339.0,214.0,192.0,109.0,0.0,0.0,0.0,0.0,0.0001,0.0001,132.0,206.0,2281.0,36385.0,2282.0,37136.0,661.0,2211.0,1606.0,6292.0
62069,24,MD,20601,6,329.0,317.0,168.0,983.0,337.0,85939.0,326.0,66714.0,277.0,754.0,137.0,363.0,128.0,267.0,43.0,1951.0,0.0001,106.0,308.0,34.0,539.0,175.0,9616.0,0.0001,0.0001,23.0,376.0,0.0001,0.0001,328.0,16234.0,321.0,5928.0,0.0001,0.0001,322.0,1599.0,328.0,7648.0,308.0,5695.0,318.0,2236.0,329.0,66063.0,119.0,55.0,0.0,0.0,46.0,29.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,879.0,329.0,15680.0,329.0,15939.0,161.0,1486.0,157.0,892.0
62070,24,MD,20602,1,3691.0,255.0,1758.0,5560.0,2129.0,47116.0,3133.0,39164.0,457.0,218.0,109.0,103.0,94.0,53.0,512.0,2195.0,0.0001,58.0,-6.0,82.0,389.0,337.0,3342.0,292.0,2044.0,64.0,107.0,0.0001,0.0001,398.0,5179.0,260.0,286.0,104.0,64.0,228.0,558.0,395.0,939.0,222.0,1848.0,257.0,572.0,1745.0,10494.0,641.0,269.0,179.0,66.0,100.0,40.0,0.0001,0.0001,1452.0,3721.0,1351.0,3415.0,1042.0,1192.0,0.0,0.0,1271.0,850.0,1619.0,1322.0,245.0,186.0,3326.0,7583.0
62071,24,MD,20602,2,2871.0,430.0,1393.0,5513.0,2217.0,106192.0,2652.0,94085.0,698.0,232.0,152.0,208.0,129.0,95.0,333.0,-475.0,0.0001,95.0,160.0,93.0,631.0,446.0,8271.0,226.0,1805.0,226.0,1345.0,0.0001,0.0001,1179.0,19537.0,1027.0,2307.0,97.0,91.0,801.0,2051.0,1174.0,4636.0,798.0,6998.0,910.0,2807.0,2769.0,54411.0,1368.0,1498.0,777.0,737.0,336.0,237.0,73.0,23.0,633.0,962.0,559.0,857.0,628.0,833.0,0.0,0.0,2127.0,5359.0,2205.0,5591.0,330.0,439.0,2529.0,7022.0
62072,24,MD,20602,3,2151.0,544.0,1110.0,4435.0,1740.0,132541.0,2010.0,117394.0,866.0,318.0,176.0,125.0,149.0,86.0,304.0,-788.0,0.0001,94.0,-44.0,109.0,1164.0,470.0,10644.0,119.0,839.0,204.0,2599.0,0.0001,0.0001,1564.0,32358.0,1481.0,5644.0,42.0,77.0,1239.0,3351.0,1560.0,9300.0,1229.0,12122.0,1331.0,4725.0,2133.0,78925.0,986.0,1630.0,702.0,1004.0,245.0,163.0,88.0,29.0,0.0,0.0,0.0,0.0,129.0,171.0,0.0001,0.0001,2001.0,9821.0,2028.0,10071.0,358.0,672.0,1783.0,5848.0
62073,24,MD,20602,4,1441.0,652.0,784.0,3332.0,1238.0,124616.0,1372.0,110105.0,731.0,257.0,169.0,336.0,145.0,268.0,210.0,-161.0,0.0001,97.0,-2.0,74.0,766.0,383.0,9529.0,82.0,572.0,151.0,2348.0,0.0001,0.0001,1237.0,30023.0,1201.0,6539.0,29.0,57.0,1062.0,3147.0,1235.0,9929.0,1049.0,11643.0,1083.0,4339.0,1439.0,80249.0,692.0,1125.0,506.0,745.0,178.0,111.0,88.0,26.0,0.0,0.0,0.0,0.0,20.0,20.0,28.0,31.0,1422.0,11512.0,1426.0,11666.0,277.0,703.0,1158.0,4134.0
62074,24,MD,20602,5,1712.0,1273.0,882.0,4830.0,1846.0,224529.0,1682.0,200108.0,1026.0,470.0,291.0,208.0,254.0,141.0,301.0,679.0,0.0001,174.0,-43.0,112.0,1802.0,620.0,16801.0,83.0,513.0,138.0,2351.0,0.0001,0.0001,1627.0,51978.0,1597.0,13757.0,0.0001,0.0001,1492.0,5054.0,1627.0,19093.0,1490.0,21109.0,1445.0,7156.0,1711.0,153784.0,811.0,1185.0,404.0,550.0,329.0,235.0,161.0,56.0,0.0,0.0,0.0,0.0,0.0001,0.0001,85.0,177.0,1706.0,26021.0,1707.0,26467.0,453.0,1576.0,1248.0,5151.0
