zip_code,Totals,20601,20602,20603,20606,20607,20608,20609,20611,20613,20615,20616,20617,20618,20619,20620,20621,20622,20623,20624,20626,20628,20630,20632,20634,20636,20637,20639,20640,20645,20646,20650,20653,20657,20658,20659,20662,20664,20667,20670,20674,20675,20676,20677,20678,20680,20684,20685,20686,20687,20688,20689,20690,20692,20693,20695,20705,20706,20707,20708,20710,20711,20712,20714,20715,20716,20720,20721,20722,20723,20724,20732,20733,20735,20736,20737,20740,20743,20744,20745,20746,20747,20748,20751,20754,20755,20758,20759,20762,20763,20764,20769,20770,20772,20774,20776,20777,20778,20779,20781,20782,20783,20784,20785,20794,20812,20814,20815,20816,20817,20818,20832,20833,20837,20838,20839,20841,20842,20850,20851,20852,20853,20854,20855,20860,20861,20862,20866,20868,20871,20872,20874,20876,20877,20878,20879,20882,20886,20895,20901,20902,20903,20904,20905,20906,20910,20912,21001,21005,21009,21012,21013,21014,21015,21017,21028,21029,21030,21032,21034,21035,21036,21037,21040,21042,21043,21044,21045,21046,21047,21048,21050,21051,21053,21054,21057,21060,21061,21074,21075,21076,21077,21078,21082,21084,21085,21087,21090,21093,21102,21104,21108,21111,21113,21114,21117,21120,21122,21128,21131,21132,21133,21136,21140,21144,21146,21152,21154,21155,21156,21157,21158,21160,21161,21162,21163,21201,21202,21204,21205,21206,21207,21208,21209,21210,21211,21212,21213,21214,21215,21216,21217,21218,21219,21220,21221,21222,21223,21224,21225,21226,21227,21228,21229,21230,21231,21234,21236,21237,21239,21244,21286,21401,21402,21403,21502,21520,21521,21523,21530,21531,21532,21536,21538,21539,21541,21545,21550,21555,21557,21561,21562,21601,21607,21610,21612,21613,21617,21619,21620,21622,21623,21625,21629,21631,21632,21634,21635,21636,21638,21639,21640,21643,21645,21647,21649,21650,21651,21654,21655,21657,21658,21659,21660,21661,21662,21663,21665,21666,21667,21668,21671,21673,21676,21677,21678,21679,21701,21702,21703,21704,21710,21711,21713,21716,21719,21722,21723,21727,21733,21737,21738,21740,21742,21750,21754,21755,21756,21757,21758,21766,21767,21769,21770,21771,21773,21774,21776,21777,21778,21779,21780,21782,21783,21784,21787,21788,21791,21793,21794,21795,21797,21798,21801,21804,21811,21813,21814,21817,21821,21822,21826,21829,21830,21835,21837,21838,21840,21841,21842,21849,21850,21851,21853,21856,21863,21864,21865,21869,21871,21872,21874,21875,21901,21903,21904,21911,21912,21915,21917,21918,21919,21921
1998,116614285,433388,348017,431102,6121,165562,15968,18323,21718,170758,7034,88733,27720,11441,157949,20233,22658,80013,54389,17896,6070,10644,8190,7598,90951,164133,89534,302913,139836,16825,375470,211588,257148,299522,24598,351293,35397,44443,11041,36392,12329,38570,64845,46295,183956,17485,22055,118093,22149,5908,59015,33987,14743,21379,22292,114502,430832,622022,556326,459792,92891,129080,109305,72867,623896,427258,400941,639725,71306,579869,270505,146070,62921,679219,186225,225723,389954,525649,1097474,399419,429396,597193,689808,54292,187240,101035,23429,94791,76749,43997,86743,146800,423319,888194,577953,75948,122221,54951,36395,160635,481566,536661,395467,527409,167355,12614,1212022,2070884,1016015,2275233,88227,689085,224552,160423,17887,5290,67371,54777,939156,248241,1330242,824981,3853859,499781,41366,70839,19087,309137,13740,85544,294904,1174447,458500,542281,1713260,734777,481622,526340,618229,795432,953060,309152,1178928,561979,1321753,975678,425335,297888,32887,488198,623479,188806,774809,593430,113898,100150,327646,842564,306186,66006,300000,55749,440723,326322,1353000,833866,1226012,947787,443377,326238,233684,344977,7334,62170,240899,165999,432771,837066,275090,342415,174892,4855,288370,33298,174791,296993,164010,258120,1538755,179914,106389,550002,190489,405921,679288,1243380,190295,1167023,153635,461058,46290,487719,720392,117026,541778,869933,199815,108070,65778,9846,676894,381655,36711,118138,50487,106250,180823,227160,770101,122233,647428,674242,1237062,670413,763329,225732,907938,328140,310137,678380,307019,296959,702078,150055,557932,578048,771454,193575,566473,327955,111999,574483,1030504,570417,518791,181735,1227884,794925,425907,412062,411744,528086,1675780,30555,903939,553577,23065,16900,3992,17976,27117,168225,42865,6475,30104,22548,23950,164941,19434,24258,36583,38626,531426,6620,6367,15444,232760,125134,130495,242264,8787,22133,38115,119948,37576,76682,6616,29566,15172,95112,47554,16122,63521,18164,6315,12785,3566,33985,86272,66438,17405,133856,12553,46453,46185,33144,109900,8680,276157,5961,21869,12113,64386,6145,7964,44934,10279,692166,679417,488302,75797,54804,13776,145160,76945,22098,89320,14537,62259,16943,56319,169627,685147,594370,52641,171733,128701,56507,44393,71508,6536,23345,237930,135439,604751,105536,206031,103615,20833,18567,16854,26236,64689,134096,802122,139027,198679,87456,196254,95715,152162,205324,38538,466870,444335,341186,42465,5099,58859,9167,32012,54298,6014,49683,7137,29065,21403,6160,13296,243687,46620,29854,94322,85389,14948,69863,8086,6396,12563,23910,8931,27718,69354,215434,84648,99259,149118,23015,71780,36221,69035,46187,640150
2001,136235786,528943,397740,563126,6872,207530,18336,22617,26359,208618,8506,111161,32711,13662,183806,27682,26948,96525,74296,23233,6432,12364,11362,9506,125792,201130,123080,395169,167196,23329,460299,255461,317996,354652,26597,443150,44548,55310,14417,37580,16460,44574,74719,60991,216966,20257,25802,154424,17745,6424,67052,43766,18208,28820,29095,166103,533031,725675,639204,536269,110010,167925,121174,85543,708138,578404,483079,756402,79961,689212,349861,211854,76945,835120,247671,265941,431198,586423,1273053,448927,482120,679765,773965,61963,231775,114896,26198,89711,79967,46133,100775,172748,494501,1026939,844233,90309,168904,63739,43651,188125,534895,601748,452580,588836,194776,13310,1462212,2329058,1129719,2638910,95306,825192,299003,205435,25387,7264,152885,69319,1323820,286006,1410779,927533,4283141,553370,70335,81893,21613,352797,17514,128300,349816,1491562,602480,642075,2129559,656765,557713,797021,696978,934597,1029583,343658,1309374,642942,1478726,1104349,508629,346640,37170,598272,715150,207436,929321,729734,130484,118453,503255,914985,347460,69896,373353,80490,616276,362356,1553964,1045325,1402769,1040622,503431,369572,292333,476232,12139,73481,313922,169854,512922,963039,336009,509844,219041,4895,329223,34335,199594,347607,177203,274984,1628586,233701,180601,582648,227725,580732,766667,1497488,212567,1449591,229256,412956,54225,554217,866943,133930,692528,972889,227041,130990,80325,11062,784316,453456,44302,141025,61332,173958,198054,278346,852356,125605,705325,743051,1267151,726049,667893,259014,969340,338849,339771,723077,318155,327910,760993,180047,643529,652370,838733,202091,651579,367614,125739,594127,1144904,623813,598300,220769,1369068,881401,518308,456624,553261,570770,1774392,34366,1017681,598701,29426,18975,3897,20646,27106,188637,51637,7811,35358,30839,27592,204095,23292,27096,48340,42169,603850,7399,7706,22972,254679,160989,160114,298507,12322,26973,43543,138932,43567,90194,7772,35315,18847,122496,59552,17670,72131,21396,7839,16497,4574,40763,65743,77490,21485,150471,13590,54095,43733,39546,130136,8969,345251,6365,26138,13037,79159,7340,10939,45649,12750,1024159,872884,662902,176462,97255,17306,171529,90060,25528,101544,37408,73238,21705,58940,231180,791732,640035,58803,222799,149343,79782,50706,88395,8909,23787,325829,161243,820060,132498,285794,127502,27743,40742,20811,30514,74875,187659,1004551,166287,244838,100315,237183,95233,173499,271649,47375,501420,523378,455453,56487,5576,67436,13601,42778,56212,7241,60104,7812,33644,24900,8298,15913,276822,55030,35804,112180,95393,16493,79159,10218,8210,15077,27160,11615,30262,76594,251219,102271,117749,176519,27392,75753,33800,77816,56785,773832
2004,155654521,612853,462102,661844,7591,283660,21330,23921,34491,288261,12195,138697,39490,15544,237778,34506,34784,123731,94180,29855,7629,16879,15737,11251,159167,257974,163858,480394,199245,41814,583716,350347,391043,445748,29181,532924,55279,76206,17038,37512,18827,52408,93134,85854,262538,22910,30718,190341,19155,7320,95640,49959,26569,34156,38874,219871,572576,780398,693629,554322,118537,184194,134012,96309,778173,619023,621154,910429,87552,807243,378778,262402,85029,951061,300754,282253,433630,637312,1420853,485370,501243,758111,830952,69671,277678,110786,28824,111380,39999,50673,119838,214704,504223,1204911,1025216,114915,219714,80103,46667,189834,551101,592698,496628,616456,205939,13065,1744474,2705676,1339703,3004953,110391,890779,357793,207850,22135,7979,280330,82233,1673675,296148,1714624,994033,5248212,579605,62008,97291,27194,365435,22407,250006,391287,1575439,609618,666330,2299360,648493,668634,813148,782958,941277,1099703,353602,1436020,773814,1532316,1209228,544502,416424,32398,714833,771598,213570,1005303,888796,156841,135237,648103,1138190,404647,79172,471699,106350,778824,420558,1869152,1210564,1532626,1100555,522983,457629,357696,563893,15604,84018,408081,180794,570221,1024232,403898,605513,271202,5931,384857,39725,240695,405934,212099,294518,1931630,301275,251150,648198,332694,743625,830770,1768331,256376,1643944,322788,472704,63322,605355,1066852,148001,807157,1098965,302293,157211,90881,12416,891861,529827,55547,156033,74668,232397,254485,362366,1029889,121775,765616,809600,1523587,770322,708145,279084,1134663,342782,365933,743293,328301,350578,836217,203217,703567,737725,899028,200969,835546,392881,129896,623420,1245851,648129,710865,263754,1421775,928920,598107,471063,630326,629524,1987132,37058,1144933,637204,33662,20214,3927,23467,30841,200835,56677,8307,37935,37161,29578,232578,25121,29707,53700,43422,750159,8482,7274,26528,303138,229928,186465,331845,11824,30627,49859,165769,51872,96881,7738,47945,20361,151882,73575,22696,92483,23291,8474,19540,4539,49485,100587,95737,25416,160770,15285,64778,54101,49581,145647,10873,402418,6848,29717,15793,95336,8368,13010,47037,13184,934355,983249,741919,321559,137173,18567,225462,103317,29431,120133,37042,91327,29149,88532,203995,909364,770394,67177,262046,165823,86174,59034,114103,9814,26183,395974,183796,981817,148609,361767,146695,31061,25255,24897,33770,90792,194728,1163638,206004,281372,119240,260775,122085,205059,341772,69319,614351,621405,565770,74325,5378,70417,15928,73636,63883,7928,78205,8187,42005,30692,8658,18274,387380,59222,43059,120377,111547,20341,87198,10655,9113,15944,30813,12873,36752,98591,314117,123299,152562,220517,37059,87693,59940,88761,64088,875181
2005,166297995,645439,475835,702277,8517,301893,21669,25532,36202,316151,12201,147950,40455,16696,251352,35355,37123,131027,100613,27962,9045,19880,17771,11810,168740,277549,179198,499712,215411,37728,632635,370914,431209,470026,30662,559550,57276,94485,15947,33150,20566,53872,108747,87057,277014,23916,33042,208592,25865,9173,90523,52287,31618,35015,39324,240568,596604,773705,739035,555663,119436,201286,132922,112110,795492,625336,682820,938064,87693,860641,396838,275561,88606,985450,336302,280808,449721,655126,1448279,488196,513664,764089,847313,72522,309149,120019,29132,140740,36869,55452,145599,226136,506964,1250666,1101823,124342,215009,82620,52448,195871,558066,583204,504539,627246,213872,17202,1957392,3180386,1557198,3622072,118925,925931,402062,229068,28945,7868,312496,86952,1881317,304008,1743141,1084129,5688192,634131,83797,111382,36861,380271,24063,361670,407810,1652836,650137,676622,2460832,653101,724340,845729,842765,1000531,1148902,357714,1526640,745288,1596041,1324000,567964,436794,28469,766465,823509,232630,1068997,937662,170317,122880,700085,1204236,474719,87896,502593,120474,856330,431554,1966865,1319641,1556414,1128927,536489,515944,381773,608141,17154,87894,419670,188454,598795,1052366,432119,638407,285931,6588,423083,40440,249385,422441,243836,313796,2097703,328780,248945,752495,383319,812872,860791,1938719,275669,1726840,376034,519569,68079,616588,1228718,159552,856610,1173424,310552,170507,88775,13108,949108,580196,58502,173946,86571,241634,268060,377407,1143579,122741,796680,837843,1523655,854001,873472,306128,1151597,346942,381030,769956,334225,372684,901509,218334,740561,781123,926001,205438,821323,405477,134603,635809,1305477,668624,788623,291994,1480777,959927,623638,482419,651383,680539,1603487,20247,1304673,672537,35715,20167,4382,25078,35170,211618,60154,8505,40099,43456,29670,250386,27142,32222,53109,46066,850128,9994,7487,25040,307550,262973,189329,361386,12546,35260,54986,186283,55985,98368,7537,51418,20282,162129,77651,23925,97840,25755,8485,20050,4808,52750,111351,98396,27333,190617,17382,74654,58764,44558,158952,10121,421790,7012,33062,22417,97876,9424,13595,53385,16189,992234,1048198,772912,386771,156969,20291,244772,107698,30945,130738,43381,99778,29141,101228,224793,977413,836751,70300,264455,174894,95788,61640,128391,10609,27398,458144,201825,1058737,160883,392215,153443,35506,26906,25510,34775,96688,207471,1214624,220929,301275,127859,275919,126649,225102,377092,66943,621988,678332,623447,77363,5694,75526,17760,67472,79223,8190,85254,8765,44677,31325,8058,20126,392997,63997,48578,133978,121781,23605,97098,12522,9626,16449,34595,13548,37541,115980,342824,135588,157865,243914,42313,87578,62720,93859,69661,939406
2006,177136975,668446,509938,757255,7867,315711,25159,28695,31797,345948,13417,151541,41575,16570,280270,39953,40227,138512,99171,32505,8766,20438,17947,12220,182144,287081,186811,558531,230979,38078,645275,396309,458761,491628,32113,594942,61339,92159,15819,29775,21861,56619,111802,102627,295723,23584,33080,218282,20681,8896,94002,54210,32490,34551,42653,265672,627258,814171,816203,564954,123341,209664,137831,110608,835634,649692,733736,1028345,95504,932165,419334,298968,97277,1030706,367911,293104,475984,680310,1496489,507248,543477,798628,870375,74836,303079,131578,29634,181519,36843,57368,128688,241640,538429,1306757,1213339,124485,212789,88400,55266,205217,581841,604490,530118,660747,222620,18059,2221755,3323495,1592525,3715949,136564,970418,419895,258860,26395,8415,335157,106042,1988215,322500,1834270,1101579,6107498,642830,101053,122389,40691,405548,26426,404042,425863,1741014,697953,722401,2623902,694868,743580,888838,953219,1043512,1221591,373279,1635314,819446,1698091,1486783,606222,463880,25540,821675,894790,242035,1127844,998471,173719,132233,728023,1284180,507303,92990,530435,136706,894435,438980,2238249,1453501,1603725,1197257,567831,513770,401933,644734,17609,103053,444713,231088,631573,1121428,458399,700891,330787,6192,472921,43643,262985,447722,240235,329268,2399222,317587,291737,752542,371676,886296,901728,2104497,289979,1828795,409445,550107,73295,648218,1371263,166352,905394,1265960,352552,179466,102653,15334,1000411,604069,61689,177932,97533,270633,284559,532177,1265480,125422,832134,878283,1673273,960166,1000091,336644,1260180,363268,400042,824446,343261,390784,1024560,224634,807870,816131,971422,213991,883069,426589,145337,666317,1387020,705078,827376,330095,1575573,1017287,654249,507065,679369,746204,1684320,21509,1346951,711043,36613,21167,4261,26184,35599,225602,66601,9220,40902,45892,30492,260979,26347,33190,63175,47931,871230,9971,7428,24221,327909,319767,203018,396408,11839,34856,59147,197881,57936,103826,8340,57051,21898,184054,77597,24766,104513,26416,9663,19567,5210,53921,181985,106679,28529,205574,19610,76909,71007,70227,169382,7441,455116,7912,33788,22297,108313,13566,12553,54051,20112,1069067,1173978,841828,441924,172060,20527,257189,109094,31379,137938,40785,103949,33159,88513,242811,1035951,904362,72911,284392,186427,100608,64109,134637,10824,27688,453792,193286,1105044,164329,407344,164358,41837,29488,26121,36358,100544,217594,1302567,242967,322848,130343,291978,141082,233666,403942,72089,665122,702182,620172,101636,5624,75396,17569,74275,77333,8809,87955,9278,48569,32948,8138,20008,369062,66131,49388,136389,133720,22589,98936,11529,9945,16635,36407,13820,39447,120035,369880,139014,166892,251592,35374,100443,65356,95941,76522,967131
2007,190616115,703397,547553,819105,8675,346189,26349,31472,33469,371622,13726,156117,44098,20434,327840,41287,40373,142617,106296,35135,10950,21264,18931,13607,195434,311140,201703,550723,245927,40583,697490,441459,493037,523429,32571,637399,62973,90587,16987,28433,24404,61322,115287,101675,313948,25768,38458,230448,22392,9579,104762,58294,34365,38693,46206,284299,641951,861689,892485,601746,135374,216020,149353,124348,886670,689132,801967,1063748,101816,999605,445611,337842,97064,1098101,360643,314704,503341,726638,1580679,531028,578180,838128,918246,79654,319890,144955,35061,210511,45718,58201,142267,256341,571381,1389730,1315164,139506,223252,98896,60863,234358,633352,631361,557870,706527,239648,20163,2385312,3923960,1734182,4001591,162379,1045380,426749,255640,30352,9490,391765,117576,2189554,339015,2030080,1177688,6732484,682513,103172,127112,28544,451885,29744,461890,453336,1888136,794315,791053,2891288,751111,793211,947876,980824,1129088,1327518,401987,1738024,853241,1816870,1778093,688026,499485,25913,872711,978501,248350,1206017,1066079,180249,150328,837486,1434671,556178,97454,548955,135928,977004,455156,2275623,1563579,1696955,1298056,624599,535954,417123,689540,17618,111334,482891,209344,671300,1187499,475151,803719,392772,7188,509165,41937,288475,474664,253749,325872,2481521,333805,307327,817318,408028,961162,981106,2184375,335155,1939193,464276,621628,78334,684848,1470330,178825,966207,1380844,367818,194323,102057,13934,1054879,658351,65205,198625,104182,309008,354642,474092,1338018,133343,885410,916901,1791173,1053471,986828,373541,1336855,390195,425959,858239,362578,421875,1146554,238696,858611,852821,1021623,226816,989869,454703,151275,708298,1489215,746288,928746,403913,1665380,1071573,736201,539956,731358,822104,1863846,19881,1452072,748853,37649,21876,4478,28937,38149,247454,77341,9585,43059,50006,32356,288214,28238,33454,61949,50017,932346,10401,8974,24524,376168,327976,207605,433802,11844,40861,64710,216897,65046,106014,9817,65348,23585,191961,87482,25599,109889,32718,10094,22065,4968,60083,225101,112313,29770,186262,20158,80485,74244,54582,194064,11379,539893,8027,36676,24274,103384,13795,13744,65311,22664,1120400,1178818,903196,497915,189630,21804,271963,114467,32328,138287,50206,113502,35683,92841,284162,1098923,951491,72796,304243,198041,106793,71765,148526,11557,28359,473194,206233,1174048,178043,447724,172683,47935,31692,28509,37932,104390,232460,1405126,265091,337948,140749,314503,158537,248483,427764,81992,675808,734103,664834,87968,6593,81750,18019,78847,85429,8807,95200,9073,49797,35716,9544,21020,383600,68264,54359,140256,141941,23113,105816,11667,10099,18449,37193,14232,41520,129726,395251,156814,172198,274608,38670,106057,69265,103867,88312,1051158
2010,189470912,758051,639590,959395,9375,411954,26895,33827,35928,448973,13959,176017,39412,20821,390251,47322,42558,147161,116135,38654,14936,21347,26573,14186,227327,365168,209970,572846,266582,36771,711349,488277,594904,550363,34947,681677,67144,91161,17410,30707,25060,64769,126059,111317,331142,29752,38323,239913,19670,10060,90220,64278,36678,40706,64293,322928,705937,930129,984437,669920,142670,208580,166837,128367,930050,753790,892816,1189174,109153,1102725,491309,352876,101599,1230230,373050,351804,536045,777997,1705718,597405,673538,896521,958981,85595,304879,153868,38704,270220,55578,69523,139259,286435,596242,1562793,1552134,131184,240185,89437,63095,255360,687486,716574,593765,1082742,271464,19986,2290839,3070488,1509927,3514112,143367,1099501,436711,279582,29207,9770,405056,98075,2214137,370509,2021789,1143280,5570362,699339,103201,121509,24582,450823,30911,606738,476341,1984810,778914,829851,2871516,765697,783447,973035,1008058,1209593,1473518,443491,1728407,837732,1802504,1655043,709911,531558,38512,936410,944591,220206,1246342,1084518,187144,137575,773569,1445463,509771,95018,536244,121288,944221,470622,2357993,1766137,1767253,1346982,632939,529336,413006,698809,16968,113882,488351,197904,745077,1231712,489616,912912,517629,6774,569211,41032,291441,492131,231443,329675,2045911,352158,291736,852601,329617,1061466,1028156,1998059,332999,1965920,492152,549725,78641,723230,1322061,183516,1065981,1337458,298029,191528,84286,13834,1073115,636200,67986,193607,112134,343586,351084,499147,1073039,143852,896088,958569,1777718,998191,751062,397735,1291105,389853,425947,854555,370658,444541,988971,243424,887781,870856,1027991,235156,1074748,465474,157202,716020,1503996,771815,1182953,446345,1681270,1092357,719161,557839,793703,745428,1729852,21588,1416318,739681,40430,20951,5240,28577,39380,247212,74652,10236,44302,46062,33805,269912,29685,33932,61594,51427,776584,11033,9139,22125,351626,327140,216728,358791,13577,41760,58608,212913,62421,103157,8689,58465,22149,185899,86196,26606,107924,29148,8272,22855,5366,62803,88934,109060,29658,165197,19670,78682,57517,45052,190106,9173,495983,7618,34594,22442,124213,14097,13155,57278,24189,1157824,1210244,924117,570401,189367,22888,267844,120592,31368,129915,53772,106004,35922,105596,241737,1067617,887911,67938,297062,199898,141431,70160,147780,11944,29032,477595,202399,1180163,180886,473607,174891,63440,30111,30630,46293,106467,230595,1438939,249369,326627,135756,314055,153132,229048,429830,80182,627672,718393,661545,79335,6525,75897,17123,66129,90020,9019,98818,8179,51638,36209,9942,21846,342109,65652,54147,139194,134515,22902,103974,11910,10798,17084,35199,15511,43964,129657,415050,155820,182151,271204,36542,110642,69401,106972,75672,1045134
2011,196896143,768656,667192,988711,9799,434862,26729,32964,36699,475215,14344,181520,39599,20608,406179,48234,40641,150861,115705,38867,15039,21777,25109,14001,230373,380177,217555,594215,270668,41460,715277,510994,622973,569505,33759,697629,69874,91120,17012,30194,26125,66504,122186,121702,333323,27307,39558,240505,20729,10056,94886,66170,41055,41292,42485,327699,714167,944801,1023102,682499,145086,206066,172017,133498,950269,775855,931778,1251284,109882,1163461,514388,371402,102365,1265378,379834,363296,563874,790335,1729684,632397,674130,899722,974252,84819,306177,164776,35808,297221,59221,71058,147451,303282,614805,1630511,1686124,127329,326711,90856,61306,278992,712280,745792,605297,840782,289045,21566,2461901,3219233,1578238,3752864,154267,1113764,447893,278920,25506,9268,404598,93711,2256948,378867,2115650,1190055,5938346,692066,103707,124799,23064,462031,31234,668236,478952,1993795,802316,849652,3004549,771252,832948,973875,1072566,1250966,1479107,478841,1793279,851180,1876595,1798851,738018,552482,44299,956635,985211,232247,1267554,1118808,184608,146585,849319,1516602,530552,96004,571962,134195,971373,481937,2339378,1934574,1799621,1385922,701737,533604,449326,726894,16575,117437,503683,196974,780342,1267570,496140,959120,555904,7853,605302,41430,284009,498584,239351,334184,2154738,353173,318741,904246,361706,1104668,1047274,2103718,318743,2034633,511338,557351,82579,735236,1373543,176889,1097986,1416962,322712,192226,91381,14156,1089390,660613,67212,215496,124067,356950,322398,457356,1077953,145489,906699,959809,1559130,1067965,783483,410382,1281614,397664,435652,872495,373470,469406,998232,246845,926578,879174,1035733,231701,1134351,475300,158482,737389,1549627,787890,1181760,481112,1704801,1113323,730117,562136,806630,751659,1858826,24794,1433758,741030,43822,22136,5062,29517,40668,255699,74459,10688,46031,44907,34306,282401,29563,33194,62681,51571,808757,10375,8356,26814,357161,330557,224046,380452,11252,44586,64177,211502,63413,104712,9806,59708,21899,197542,84344,26246,106872,29402,8622,22714,5153,58939,100653,109013,27991,171309,20363,80087,64066,47995,195686,8284,510670,7340,35799,22614,103316,11462,15518,60857,20194,1169934,1242548,940901,601951,190195,22058,284351,126837,31299,133519,43669,106423,33983,124183,254414,1093731,896538,67553,313589,207444,113906,70228,151714,10900,28724,479544,204227,1213687,182249,497432,175118,66991,29842,29309,38451,105624,235699,1480037,251613,330921,136363,320796,157002,238421,445983,77192,626356,710967,645057,81106,5939,74869,17082,65867,90386,8153,99925,7689,55887,35034,8112,20548,365428,67428,54423,137796,132662,21931,102742,13418,10220,17129,34258,13852,42346,134246,433326,158862,188624,275816,41977,110810,69635,110540,76440,1054146
2012,205576901,781967,686028,1013756,9224,448623,27064,34493,36236,487616,14210,189252,41707,20862,435224,49484,41485,150426,118030,40692,13224,22758,27583,13080,231999,404244,225146,629457,267888,40550,731126,534188,622450,570478,34262,719493,69221,93218,16333,28938,30104,67105,131855,123872,355662,26487,42954,247286,18586,9020,94414,69809,37415,42088,46900,342479,727378,953473,1047843,697419,153832,220013,177799,139397,956219,782527,970149,1275636,113440,1234360,518943,378287,115505,1271891,396667,372592,567669,786069,1758367,630836,658867,895317,964089,88387,315988,167682,37483,366863,60795,72096,152647,305055,623208,1646079,1654176,141833,289453,96734,62682,292676,743868,765594,623243,869916,294532,22497,2517248,3648911,1770769,4280642,160180,1158443,484551,322513,25746,10621,417634,102511,2465343,392414,2251822,1260392,6378578,830261,115905,145098,38897,487287,28418,760865,488899,1997004,825437,894035,3120463,787472,795501,989531,1120609,1293012,1470162,499873,1845120,874561,1934051,1811669,770642,567430,54083,985692,1048004,250564,1309568,1250141,194321,147841,907633,1472371,591848,97786,584954,163665,1014000,474644,2529350,2045421,1872320,1398257,674859,561290,457423,778050,17689,125092,565450,230868,804032,1291733,504263,1007029,579488,8761,617893,52510,301801,517113,256933,347398,2438922,370898,311024,850808,381488,1119258,1066658,2209067,406893,2117973,563276,651066,88089,745777,1447581,179539,1143063,1504082,335333,207523,99834,14651,1221138,676355,68966,207790,131144,370604,365590,508199,1250636,144971,904330,966430,1632810,1147962,831370,430566,1331092,391248,436040,885180,363490,470858,1080863,252746,961980,892151,1050900,232540,1192047,483707,163669,735821,1578854,781126,1192933,502064,1763592,1139263,731600,560056,820479,819534,2054637,22783,1536381,756071,43039,22055,4495,28966,42370,262418,73153,10679,45698,46536,34364,284726,28928,34097,62635,50799,900663,10348,9048,20375,355323,350143,239665,445317,11032,48104,65743,219186,62309,103842,9469,60977,22986,200791,88533,26816,108346,36343,8854,24599,5098,61655,93284,117721,34120,173300,19292,81691,65082,60256,159746,8163,558347,8324,37560,24183,100983,14395,15231,62400,23329,1203076,1283931,973919,639779,198147,23400,283518,133739,31797,139567,47865,112102,34311,146396,290896,1132827,937889,70586,316317,210881,118662,74823,154594,11754,28309,516409,207110,1257599,188199,534009,186340,72804,29153,30077,39262,109968,240647,1578536,257181,337733,140271,325600,163597,251348,472003,79732,653258,721580,676495,89349,5707,75755,17014,67430,91658,9164,101989,8808,50484,33397,9214,22086,378995,69006,55302,142194,139031,22002,107623,12706,10754,18395,37003,15339,44167,137439,453189,158322,191063,280642,38910,113866,72294,112817,79223,1089598
